Title,Year,Languages,Rating Value
The Incredible Hulk,2008,[English;Portuguese;Spanish],6.8
Sherlock Holmes,2009,[English;French],7.6
Iron Man 2,2010,[English;French;Russian],7
Thor: Ragnarok,2017,[English],7.9
The Avengers,2012,[English;Russian;Hindi],8.1
Doctor Strange,2016,[English],7.5
Avengers: Infinity War,2018,[English],8.5
Avengers: Age of Ultron,2015,[English;Korean],7.4
Thor,2011,[English],7
Spider-Man: Homecoming,2017,[English;Spanish],7.5
Captain America: The First Avenger,2011,[English;French],6.9
Revolting Rhymes Part One,2016,[English;Swedish],7.7
The Glass Castle,2017,[English],7.2
Free Fire,2016,[English],6.4
Right on Track,2003,[English],6.6
Rise of the Guardians,2012,[English;French],7.3
Anna Karenina,2012,[English],8.1